id,price
6825100015,1805016226739.7808
1698900195,796331137790.1101
2848700585,1327217866731.9873
2597690050,1947293918061.2925
8944600200,864019026706.3922
3709600190,1260857002059.6191
4309710240,7742987766495.193
104550520,1698042329200.6863
1211000070,1061774746363.4589
5248800440,1061774143867.4478
7633400110,2286265280814.3345
1535204165,15486239841297.883
9528102060,820220931080.4907
6822100305,1401542224970.1462
4365700330,1879340241542.673
2663000345,1114863571780.2834
3390600025,2050551502034.9255
1773101050,1210422524886.6768
9828702666,253764092767.60718
6058600385,822875145189.7687
7575610170,3513145175591.8975
7852150220,1071330264531.9982
1079350090,2496761801853.0684
9835800750,2025334382243.941
5016003146,1698838917383.1704
1266200120,2511095746570.047
1245500099,2263702666164.0127
6821100125,1274128966692.6863
1324059104,4278153471861.373
267000130,3185322393890.5635
1437900020,1911193450553.925
8073000495,4681097029792.495
7856410430,5308871551294.388
3783100080,7779618366333.169
3384300100,2685226664656.6523
7853300290,1634335990193.5144
952003585,1312618744876.5361
9406500310,335255258087.36536
5739601300,1728037426211.9888
6117502220,6018136517437.515
4141000060,2739112534891.524
4030100005,10377249981530.84
3762900010,1911193579704.0378
8122100690,1337835715125.5623
9523103590,995413575607.1089
625049274,1380306632395.7734
4415600030,1911193657792.4402
5469501850,4124992707501.77
4331400190,2521713564779.5815
1498301213,415153827266.7134
418000010,1727771711965.9
946000295,361534119797.3692
3621059043,62395946389535.98
8682250090,1962159068212.4968
1117200170,29352477716659.53
3738000070,1744495524962.9692
9269750690,2017636304499.9675
393000311,1700166181202.5588
1250202324,2229726209376.509
7236500025,1990826703892.5037
7149400450,1879605772229.6382
4019300195,8193976431713.575
3329510200,2166815641013.5747
7340600827,1601155353153.0786
5200087,1327483536824.6123
641900050,2340415759161.1006
3083000365,1061774268672.79
7849202231,1055403537619.4104
2051200436,7488958302278.426
1939130420,1968795089424.5825
3629920630,1327218053858.0652
8029500360,2416067389105.86
5560000540,2248306694778.0264
49500090,2100720194838.9421
